Family name	Gene name	Genomic Reference	Gene Region	Transcript Region	GO terms
ABI3VP1	Solyc00g011550.1.1	SL2.40ch00	10230860-10231553	SL2.40ch00:10230860..10231553	GO:0006355
ABI3VP1	Solyc00g011660.1.1	SL2.40ch00	10257994-10259284	SL2.40ch00:10257994..10259284	GO:0006355
ABI3VP1	Solyc00g057280.1.1	SL2.40ch00	13989906-13990536	SL2.40ch00:13989906..13990536	GO:0006355
ABI3VP1	Solyc01g015210.1.1	SL2.40ch01	17899936-17901263	SL2.40ch01:17899936..17901263	GO:0006355
ABI3VP1	Solyc01g060370.1.1	SL2.40ch01	63614231-63614524	SL2.40ch01:63614231..63614524	GO:0006355
ABI3VP1	Solyc01g079560.2.1	SL2.40ch01	71142573-71144461	SL2.40ch01:71142573..71144461	GO:0006355
ABI3VP1	Solyc01g081400.2.1	SL2.40ch01	73119945-73121166	SL2.40ch01:73119945..73121166	GO:0006355
ABI3VP1	Solyc01g095880.1.1	SL2.40ch01	78774213-78774752	SL2.40ch01:78774213..78774752	GO:0006355
ABI3VP1	Solyc01g096790.2.1	SL2.40ch01	79553552-79553938	SL2.40ch01:79553552..79553938	GO:0006355
ABI3VP1	Solyc01g106230.2.1	SL2.40ch01	85950723-85962787	SL2.40ch01:85950723..85962787	GO:0006355
ABI3VP1	Solyc01g106250.2.1	SL2.40ch01	85971307-85973018	SL2.40ch01:85971307..85973018	GO:0006355
ABI3VP1	Solyc01g108120.2.1	SL2.40ch01	87238627-87242710	SL2.40ch01:87238627..87242710	GO:0006355
ABI3VP1	Solyc01g108130.2.1	SL2.40ch01	87253005-87257799	SL2.40ch01:87253005..87257799	GO:0006355
ABI3VP1	Solyc01g108140.2.1	SL2.40ch01	87261228-87266226	SL2.40ch01:87261228..87266226	GO:0006355
ABI3VP1	Solyc01g108930.2.1	SL2.40ch01	87823680-87825210	SL2.40ch01:87823680..87825210	GO:0006355
ABI3VP1	Solyc01g108940.1.1	SL2.40ch01	87825683-87830031	SL2.40ch01:87825683..87830031	GO:0006355
ABI3VP1	Solyc01g108950.1.1	SL2.40ch01	87833474-87835392	SL2.40ch01:87833474..87835392	GO:0006355
ABI3VP1	Solyc02g021260.1.1	SL2.40ch02	13096096-13102938	SL2.40ch02:13096096..13102938	GO:0006355
ABI3VP1	Solyc02g026080.1.1	SL2.40ch02	15671077-15673270	SL2.40ch02:15671077..15673270	GO:0006355
ABI3VP1	Solyc02g032070.1.1	SL2.40ch02	18149320-18149646	SL2.40ch02:18149320..18149646	GO:0006355
ABI3VP1	Solyc02g055370.2.1	SL2.40ch02	26262372-26263045	SL2.40ch02:26262372..26263045	GO:0006355
ABI3VP1	Solyc02g065310.1.1	SL2.40ch02	31073379-31074625	SL2.40ch02:31073379..31074625	"GO:0003700,GO:0016564"
ABI3VP1	Solyc02g065340.1.1	SL2.40ch02	31083439-31084553	SL2.40ch02:31083439..31084553	GO:0006355
ABI3VP1	Solyc02g065350.2.1	SL2.40ch02	31128527-31130662	SL2.40ch02:31128527..31130662	"GO:0003700,GO:0016564"
ABI3VP1	Solyc02g079020.2.1	SL2.40ch02	38216434-38227691	SL2.40ch02:38216434..38227691	"GO:0005515,GO:0003700,GO:0016564"
ABI3VP1	Solyc02g081780.1.1	SL2.40ch02	40179674-40180844	SL2.40ch02:40179674..40180844	GO:0006355
ABI3VP1	Solyc02g090170.2.1	SL2.40ch02	46379891-46381662	SL2.40ch02:46379891..46381662	GO:0006355
ABI3VP1	Solyc02g090710.2.1	SL2.40ch02	46809258-46814499	SL2.40ch02:46809258..46814499	GO:0006355
ABI3VP1	Solyc02g094460.1.1	SL2.40ch02	49552749-49554537	SL2.40ch02:49552749..49554537	"GO:0016563,GO:0003700"
ABI3VP1	Solyc03g007140.2.1	SL2.40ch03	1727613-1733932	SL2.40ch03:1727613..1733932	GO:0006355
ABI3VP1	Solyc03g042500.1.1	SL2.40ch03	10823243-10824821	SL2.40ch03:10823243..10824821	GO:0006355
ABI3VP1	Solyc03g042510.1.1	SL2.40ch03	10874729-10875422	SL2.40ch03:10874729..10875422	GO:0006355
ABI3VP1	Solyc03g043580.1.1	SL2.40ch03	11000307-11001597	SL2.40ch03:11000307..11001597	GO:0006355
